"年度","月份","出口總值(新臺幣千元)","出口(新臺幣千元)","復出口(新臺幣千元)","進口總值(新臺幣千元)","進口(新臺幣千元)","復進口(新臺幣千元)","出入超(新臺幣千元)","備註"
"113","10","1320911370","1225158153","95753217","1096008631","1093205428","2803203","224902739",
"113","9","1298210474","1197356350","100854124","1070664597","1067649951","3014646","227545877",
"113","8","1421823391","1313914040","107909351","1047492310","1045213864","2278446","374331081",
"113","7","1297683734","1206796742","90886992","1139832600","1138156641","1675959","157851134",
"113","6","1289322569","1191892237","97430332","1137343693","1135199773","2143920","151978876",
"113","5","1210330988","1118032482","92298506","1015121536","1013312745","1808791","195209452",
"113","4","1202709490","1119399144","83310346","995911912","994112279","1799633","206797578",
"113","3","1319576785","1226218760","93358025","1046168443","1043589581","2578862","273408342",
"113","2","985951861","916001324","69950537","738214141","736881825","1332316","247737720",
"113","1","1153957659","1071521082","82436577","1079748677","1077375044","2373633","74208982",
"112","12","1255529758","1157220440","98309318","904794948","902774510","2020438","350734810",
"112","11","1207995170","1110704313","97290857","892719964","890939290","1780674","315275206",
"112","10","1227285365","1135800841","91484524","1041423996","1039696633","1727363","185861369",
"112","9","1237515232","1144130780","93384452","909214330","907329094","1885236","328300902",
"112","8","1181936827","1092227235","89709592","910727081","908911911","1815170","271209746",
"112","7","1199681372","1112436879","87244493","937960563","935807021","2153542","261720809",
"112","6","993101617","918222151","74879466","807795393","806439573","1355820","185306224",
"112","5","1108920073","1023636929","85283144","955925046","953798456","2126590","152995027",
"112","4","1093815690","1012093881","81721809","886520798","884824318","1696480","207294892",
"112","3","1075335636","995235032","80100604","945222597","942942351","2280246","130113039",
"112","2","937090384","867208762","69881622","864609738","862963386","1646352","72480646",
"112","1","963900480","899993060","63907420","894206520","892762458","1444062","69693960",
"111","12","1095266711","1011390072","83876639","945447318","943345896","2101422","149819393",
"111","11","1150537507","1062205241","88332266","1035332189","1032983849","2348340","115205318",
"111","10","1265676371","1181826382","83849989","1169990516","1168113448","1877068","95685855",
"111","9","1151058038","1069705787","81352251","995413312","993680707","1732605","155644726",
"111","8","1206968993","1119438525","87530468","1118496480","1116064811","2431669","88472513",
"111","7","1289042332","1197954353","91087979","1141530256","1139325613","2204643","147512076",
"111","6","1246494579","1153028863","93465716","1113698554","1111574068","2124486","132796025",
"111","5","1242832443","1152846616","89985827","1180585760","1178600009","1985751","62246683",
"111","4","1194505090","1110349297","84155793","1056524882","1054855284","1669598","137980208",
"111","3","1228744917","1137822190","90922727","1095420545","1093541492","1879053","133324372",
"111","2","1041598897","971021034","70577863","881148667","879738475","1410192","160450230",
"111","1","1105517449","1021488963","84028486","968861645","967230453","1631192","136655804",
"110","12","1129844657","1042170291","87674366","970227372","968672295","1555077","159617285",
"110","11","1157316068","1067106506","90209562","996673397","994734744","1938653","160642671",
"110","10","1118501697","1027524960","90976737","951944889","950031499","1913390","166556808",
"110","9","1100099189","1015986171","84113018","924486405","922721152","1765253","175612784",
"110","8","1102421565","1015847393","86574172","1006440502","1004422872","2017630","95981063",
"110","7","1058491203","976961172","81530031","895040698","893210195","1830503","163450505",
"110","6","1016285845","936560950","79724895","875076604","873062371","2014233","141209241",
"110","5","1047755506","968037828","79717678","877602972","875735032","1867940","170152534",
"110","4","994716944","917591241","77125703","822330303","820631818","1698485","172386641",
"110","3","1013085916","931977699","81108217","912353381","910266808","2086573","100732535",
"110","2","788187031","733117586","55069445","663326307","662143707","1182600","124860724",
"110","1","974871466","902770923","72100543","801519845","799771675","1748170","173351621",
"109","12","942902578","865885910","77016668","779926036","778328712","1597324","162976542",
"109","11","921390913","853308410","68082503","773133983","771065069","2068914","148256930",
"109","10","935879598","864826371","71053227","720228353","718616052","1612301","215651245",
"109","9","903919342","837572923","66346419","696337555","694755671","1581884","207581787",
"109","8","919517618","848759478","70758140","728500623","726780531","1720092","191016995",
"109","7","833090923","771700100","61390823","673283384","671720891","1562493","159807539",
"109","6","809337954","747153502","62184452","660675147","658987729","1687418","148662807",
"109","5","808080372","737208103","70872269","664463103","662890659","1572444","143617269",
"109","4","761338116","701575717","59762399","687824718","685940184","1884534","73513398",
"109","3","850839544","785886483","64953061","765478795","763492812","1985983","85360749",
"109","2","760748687","705598518","55150169","661756789","659899896","1856893","98991898",
"109","1","751690182","701810623","49879559","648953174","647327907","1625267","102737008",
"108","12","896939991","828574451","68365540","821665842","819483546","2182296","75274149",
"108","11","870368864","799122062","71246802","740257982","738261002","1996980","130110882",
"108","10","894737955","828807502","65930453","772782395","771007862","1774533","121955560",
"108","9","877091610","808141086","68950524","778724327","776880705","1843622","98367283",
"108","8","902168993","837295103","64873890","713607126","711645068","1962058","188561867",
"108","7","872903087","809775382","63127705","761388503","759495230","1893273","111514584",
"108","6","887814153","819803123","68011030","767429762","765124543","2305219","120384391",
"108","5","852951443","794765227","58186216","714673273","712815240","1858033","138278170",
"108","4","788033141","729965726","58067415","704518846","702634851","1883995","83514295",
"108","3","877421789","808035059","69386730","782332556","779989889","2342667","95089233",
"108","2","625791944","585098968","40692976","469674765","468364860","1309905","156117179",
"108","1","835722475","773762991","61959484","808352453","806166908","2185545","27370022",
"107","12","875183001","810979484","64203517","731119474","728968719","2150755","144063527",
"107","11","854328791","793625429","60703362","709171483","707212248","1959235","145157308",
"107","10","906308162","836241974","70066188","803903731","801566242","2337489","102404431",
"107","9","906761875","831050851","75711024","772843320","771052777","1790543","133918555",
"107","8","860893192","794286073","66607119","723668620","721619511","2049109","137224572",
"107","7","860423698","786805566","73618132","790994843","788920712","2074131","69428855",
"107","6","840814491","768534298","72280193","684460102","682640253","1819849","156354389",
"107","5","860858585","791802198","69056387","728874209","726616230","2257979","131984376",
"107","4","775279664","711107268","64172396","655035460","653532168","1503292","120244204",
"107","3","871497910","802652136","68845774","697557114","695370217","2186897","173940796",
"107","2","647842847","603423490","44419357","560662190","559308384","1353806","87180657",
"107","1","808896873","750845406","58051467","728832858","726672470","2160388","80064015",
"106","12","881043966","810179435","70864531","696597761","694524445","2073316","184446205",
"106","11","863179727","798426495","64753232","684039877","681997711","2042166","179139850",
"106","10","827972042","767411357","60560685","667572005","665525546","2046459","160400037",
"106","9","864963592","797462612","67500980","666056191","663840151","2216040","198907401",
"106","8","836016161","772372549","63643612","661345616","659605629","1739987","174670545",
"106","7","819557937","750945128","68612809","654389915","652340753","2049162","165168022",
"106","6","773795931","717988904","55807027","596190010","594302034","1887976","177605921",
"106","5","763785789","708730619","55055170","661044062","659418539","1625523","102741727",
"106","4","733958315","676758083","57200232","650194618","648448599","1746019","83763697",
"106","3","787447455","728988156","58459299","665184043","663088038","2096005","122263412",
"106","2","699726973","648412021","51314952","592681644","590911913","1769731","107045329",
"106","1","754313775","695761623","58552152","639104454","636949108","2155346","115209321",
"105","12","819813293","742566497","77246796","662326059","660083803","2242256","157487234",
"105","11","793193328","729362708","63830620","659619824","657459508","2160316","133573504",
"105","10","838280436","773740491","64539945","697939021","695716470","2222551","140341415",
"105","9","710998853","657614880","53383973","571029153","569400390","1628763","139969700",
"105","8","777131924","712297026","64834898","648283325","646124824","2158501","128848599",
"105","7","774534154","714394378","60139776","653613168","651425415","2187753","120920986",
"105","6","741916638","685060325","56856313","623756554","621946705","1809849","118160084",
"105","5","762723310","705963838","56759472","648159265","646035933","2123332","114564045",
"105","4","714433450","659558367","54875083","560561616","558872159","1689457","153871834",
"105","3","746461945","685304116","61157829","597623044","595610657","2012387","148838901",
"105","2","586795523","542881024","43914499","448137632","446676217","1461415","138657891",
"105","1","730897768","669347211","61550557","614870308","612753522","2116786","116027460",
"104","12","719875797","678047449","41828348","584149772","581917369","2232403","135726025",
"104","11","718244871","673632229","44612642","629348038","627025554","2322484","88896833",
"104","10","781360449","734489037","46871412","581573934","579354832","2219102","199786515",
"104","9","733980936","690628025","43352911","563116014","560798219","2317795","170864922",
"104","8","757466235","713029737","44436498","630637116","628400963","2236153","126829119",
"104","7","727629308","689955630","37673678","614744065","612658464","2085601","112885243",
"104","6","709392704","671007693","38385011","641933199","639884229","2048970","67459505",
"104","5","785689643","741810486","43879157","618962878","616957305","2005573","166726765",
"104","4","733823885","693814411","40009474","584948700","582958419","1990281","148875185",
"104","3","796130217","752225922","43904295","667472952","665205433","2267519","128657265",
"104","2","623190102","587033513","36156589","479754050","478103383","1650667","143436052",
"104","1","797722051","749488255","48233796","644535729","642470307","2065422","153186322",
"103","12","796681836","749222124","47459712","659470362","657432052","2038310","137211474",
"103","11","813011344","763479163","49532181","685338515","682927867","2410648","127672829",
"103","10","816134558","773689144","42445414","675936040","673794208","2141832","140198518",
"103","9","791892724","744948534","46944190","685881093","683881521","1999572","106011631",
"103","8","841329448","791516001","49813447","718370281","716203960","2166321","122959167",
"103","7","800848604","757939470","42909134","722548811","720736112","1812699","78299793",
"103","6","805178352","758761054","46417298","748235527","746298562","1936965","56942825",
"103","5","804432824","763673343","40759481","644992971","643250174","1742797","159439853",
"103","4","806341732","764163214","42178518","729131313","726847032","2284281","77210419",
"103","3","841007262","788531252","52476010","781673817","779474688","2199129","59333445",
"103","2","644316166","609017265","35298901","596790042","595228411","1561631","47526124",
"103","1","728696166","690633258","38062908","640038970","637841044","2197926","88657196",
